date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:54:11	74794/74794	---M--	200	added ('OK')	text/html	etag:%221242a-58739e8ab9d80%22	http://keenitsolutions.com/products/html/edulearn/edulearn-demo/index.html	C:/Users/koo_c/Downloads/klc/klc/keenitsolutions.com/products/html/edulearn/edulearn-demo/index.html	(from )
17:54:12	882/882	---M--	200	added ('OK')	text/plain	etag:%22372-4fefa6aec6900%22	http://keenitsolutions.com/robots.txt		(from )
17:54:13	0/0	---MC-	200	added ('OK')	text/html	date:Wed,%2029%20Jan%202020%2009:54:13%20GMT	http://keenitsolutions.com/products/html/edulearn/edulearn-demo/apple-touch-icon.png	C:/Users/koo_c/Downloads/klc/klc/keenitsolutions.com/products/html/edulearn/edulearn-demo/apple-touch-icon.html	(from http://keenitsolutions.com/products/html/edulearn/edulearn-demo/index.html)
17:54:13	1215/1215	---M--	200	added ('OK')	image/png	etag:%224bf-56aa45cf08280%22	http://keenitsolutions.com/products/html/edulearn/edulearn-demo/images/fav.png	C:/Users/koo_c/Downloads/klc/klc/keenitsolutions.com/products/html/edulearn/edulearn-demo/images/fav.png	(from http://keenitsolutions.com/products/html/edulearn/edulearn-demo/index.html)
17:54:13	144877/144877	---M-Z	200	added ('OK')	text/css	etag:%22235ed-5631987d88700-gzip%22	http://keenitsolutions.com/products/html/edulearn/edulearn-demo/css/bootstrap.min.css	C:/Users/koo_c/Downloads/klc/klc/keenitsolutions.com/products/html/edulearn/edulearn-demo/css/bootstrap.min.css	(from http://keenitsolutions.com/products/html/edulearn/edulearn-demo/index.html)
17:54:14	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%227918-5540205b57880-gzip%22	http://keenitsolutions.com/products/html/edulearn/edulearn-demo/css/font-awesome.min.css	C:/Users/koo_c/Downloads/klc/klc/keenitsolutions.com/products/html/edulearn/edulearn-demo/css/font-awesome.min.css	(from http://keenitsolutions.com/products/html/edulearn/edulearn-demo/index.html)
17:54:14	70824/70824	---M-Z	200	added ('OK')	text/css	etag:%22114a8-5540205b57880-gzip%22	http://keenitsolutions.com/products/html/edulearn/edulearn-demo/css/animate.css	C:/Users/koo_c/Downloads/klc/klc/keenitsolutions.com/products/html/edulearn/edulearn-demo/css/animate.css	(from http://keenitsolutions.com/products/html/edulearn/edulearn-demo/index.html)
17:54:14	4028/4028	---M-Z	200	added ('OK')	text/css	etag:%22fbc-55f5fb17f6000-gzip%22	http://keenitsolutions.com/products/html/edulearn/edulearn-demo/css/owl.carousel.css	C:/Users/koo_c/Downloads/klc/klc/keenitsolutions.com/products/html/edulearn/edulearn-demo/css/owl.carousel.css	(from http://keenitsolutions.com/products/html/edulearn/edulearn-demo/index.html)
17:54:15	1729/1729	---M-Z	200	added ('OK')	text/css	etag:%226c1-5540205d3fd00-gzip%22	http://keenitsolutions.com/products/html/edulearn/edulearn-demo/css/slick.css	C:/Users/koo_c/Downloads/klc/klc/keenitsolutions.com/products/html/edulearn/edulearn-demo/css/slick.css	(from http://keenitsolutions.com/products/html/edulearn/edulearn-demo/index.html)
17:54:15	6951/6951	---M-Z	200	added ('OK')	text/css	etag:%221b27-567ea03b8bc80-gzip%22	http://keenitsolutions.com/products/html/edulearn/edulearn-demo/css/magnific-popup.css	C:/Users/koo_c/Downloads/klc/klc/keenitsolutions.com/products/html/edulearn/edulearn-demo/css/magnific-popup.css	(from http://keenitsolutions.com/products/html/edulearn/edulearn-demo/index.html)
17:54:15	5691/5691	---M-Z	200	added ('OK')	text/css	etag:%22163b-56aa5faf40f00-gzip%22	http://keenitsolutions.com/products/html/edulearn/edulearn-demo/css/off-canvas.css	C:/Users/koo_c/Downloads/klc/klc/keenitsolutions.com/products/html/edulearn/edulearn-demo/css/off-canvas.css	(from http://keenitsolutions.com/products/html/edulearn/edulearn-demo/index.html)
17:54:16	1296/1296	---M-Z	200	added ('OK')	text/css	etag:%22510-5644b23d46480-gzip%22	http://keenitsolutions.com/products/html/edulearn/edulearn-demo/fonts/flaticon.css	C:/Users/koo_c/Downloads/klc/klc/keenitsolutions.com/products/html/edulearn/edulearn-demo/fonts/flaticon.css	(from http://keenitsolutions.com/products/html/edulearn/edulearn-demo/index.html)
17:54:16	1038/1038	---M-Z	200	added ('OK')	text/css	etag:%2240e-56a9514038680-gzip%22	http://keenitsolutions.com/products/html/edulearn/edulearn-demo/fonts/fonts2/flaticon.css	C:/Users/koo_c/Downloads/klc/klc/keenitsolutions.com/products/html/edulearn/edulearn-demo/fonts/fonts2/flaticon.css	(from http://keenitsolutions.com/products/html/edulearn/edulearn-demo/index.html)
17:54:16	16425/16425	---M-Z	200	added ('OK')	text/css	etag:%224029-58738f3937980-gzip%22	http://keenitsolutions.com/products/html/edulearn/edulearn-demo/css/rsmenu-main.css	C:/Users/koo_c/Downloads/klc/klc/keenitsolutions.com/products/html/edulearn/edulearn-demo/css/rsmenu-main.css	(from http://keenitsolutions.com/products/html/edulearn/edulearn-demo/index.html)
17:54:16	666/666	---M-Z	200	added ('OK')	text/css	etag:%2229a-55eb047b73f80-gzip%22	http://keenitsolutions.com/products/html/edulearn/edulearn-demo/css/rsmenu-transitions.css	C:/Users/koo_c/Downloads/klc/klc/keenitsolutions.com/products/html/edulearn/edulearn-demo/css/rsmenu-transitions.css	(from http://keenitsolutions.com/products/html/edulearn/edulearn-demo/index.html)
17:54:17	164016/164016	---M-Z	200	added ('OK')	text/css	etag:%22280b0-58739147a5380-gzip%22	http://keenitsolutions.com/products/html/edulearn/edulearn-demo/style.css	C:/Users/koo_c/Downloads/klc/klc/keenitsolutions.com/products/html/edulearn/edulearn-demo/style.css	(from http://keenitsolutions.com/products/html/edulearn/edulearn-demo/index.html)
17:54:17	26694/26694	---M-Z	200	added ('OK')	text/css	etag:%226846-5873a10026a80-gzip%22	http://keenitsolutions.com/products/html/edulearn/edulearn-demo/css/responsive.css	C:/Users/koo_c/Downloads/klc/klc/keenitsolutions.com/products/html/edulearn/edulearn-demo/css/responsive.css	(from http://keenitsolutions.com/products/html/edulearn/edulearn-demo/index.html)
17:54:17	2600/2600	---M--	200	added ('OK')	image/png	etag:%22a28-56aa3da67c300%22	http://keenitsolutions.com/products/html/edulearn/edulearn-demo/images/logo.png	C:/Users/koo_c/Downloads/klc/klc/keenitsolutions.com/products/html/edulearn/edulearn-demo/images/logo.png	(from http://keenitsolutions.com/products/html/edulearn/edulearn-demo/index.html)
